lat,lon
34.07,-118.2678223
34.16,-118.3886719
34.17,-118.4820557
34.16,-118.6358643
34.15,-118.7896729
34.18,-118.8720703
34.22,-119.0478516
34.23,-119.1741943
34.28,-119.2785645
34.32,-119.3774414
34.37,-119.4598389
34.40,-119.6411133
34.43,-119.7509766
34.43,-119.9157715
34.44,-119.9246979
34.44,-119.9549103
34.46,-119.9720764
34.46,-120.0125885
34.46,-120.0531006
34.47,-120.0661469
34.46,-120.0812531
34.47,-120.1087189
34.47,-120.1279449
34.47,-120.1451111
34.47,-120.168457
34.47,-120.1924896
34.47,-120.2220154
34.48,-120.2302551
34.49,-120.2240753
34.50,-120.2316284
34.51,-120.2261353
34.52,-120.2549744
34.52,-120.2803802
34.53,-120.2893066
34.52,-120.3105927
34.52,-120.3202057
34.52,-120.3387451
34.54,-120.3538513
34.57,-120.3682709
34.58,-120.3847504
34.58,-120.4074097
34.60,-120.4108429
34.60,-120.4190826
34.61,-120.4190826
34.62,-120.428009
34.63,-120.4328156
34.64,-120.4362488
34.65,-120.4273224
34.66,-120.4252625
34.66,-120.4190826
34.66,-120.4108429
34.67,-120.4355621
34.68,-120.4554749
34.72,-120.4335022
34.72,-120.4348755
34.73,-120.4417419
34.73,-120.4417419
34.74,-120.4376221
34.74,-120.4376221
34.75,-120.4328156
34.76,-120.4293823
34.76,-120.4252625
34.77,-120.4252625
34.80,-120.4417419
34.83,-120.4520416
34.85,-120.4520416
34.86,-120.4547882
34.87,-120.463028
34.87,-120.4695511
34.88,-120.4922104
34.89,-120.5052567
34.90,-120.5220795
34.90,-120.5323792
34.91,-120.548172
34.92,-120.5560684
34.93,-120.5656815
34.93,-120.5691147
34.94,-120.5735779
34.95,-120.5742645
34.96,-120.5739212
34.97,-120.5739212
34.97,-120.5718613
34.99,-120.5708313
35.00,-120.5711746
35.01,-120.5698013
35.03,-120.5619049
35.04,-120.5612183
35.04,-120.5656815
35.05,-120.5691147
35.05,-120.5725479
35.05,-120.5919456
35.05,-120.5934906
35.05,-120.5955505
35.06,-120.5960655
35.06,-120.5974388
35.08,-120.5897141
35.08,-120.5891991
35.08,-120.5843925
35.09,-120.581646
35.09,-120.5819893
35.10,-120.5819893
35.10,-120.6101418
35.10,-120.6194115
35.11,-120.6225014
35.13,-120.6315994
35.13,-120.6319427
35.14,-120.6374359
35.14,-120.644474
35.15,-120.6448174
35.15,-120.645504
35.16,-120.687561
35.18,-120.6971741
35.18,-120.7012939
35.20,-120.699234
35.21,-120.6961441
35.22,-120.6964874
35.22,-120.6927109
35.23,-120.6906509
35.24,-120.6844711
35.24,-120.6834412
35.26,-120.6741714
35.27,-120.6717682
35.28,-120.6679916
35.29,-120.6631851
35.29,-120.6679916
35.30,-120.6741714
35.31,-120.6786346
35.32,-120.6906509
35.32,-120.6951141
35.32,-120.7105637
35.32,-120.72258
35.33,-120.7325363
35.33,-120.7442093
35.33,-120.7517624
35.34,-120.763092
35.35,-120.7740784
35.36,-120.8032608
35.36,-120.8228302
35.37,-120.8379364
